step;tokens;lr;loss
20;56433;0.000005;9.984207
40;59659;0.000010;9.600199
60;59664;0.000015;9.284270
80;59666;0.000020;8.885644
100;59718;0.000025;8.406698
120;59660;0.000030;7.880703
140;59705;0.000035;7.453367
160;59734;0.000040;7.143493
180;59671;0.000045;6.967391
200;59720;0.000050;6.778965
220;59594;0.000055;6.645612
240;59652;0.000060;6.458086
260;59692;0.000065;6.325175
280;59578;0.000070;6.128443
300;59627;0.000075;5.988644
320;59641;0.000080;5.935300
340;59617;0.000085;5.733395
360;59633;0.000090;5.660546
380;59539;0.000095;5.573154
400;59547;0.000100;5.511077
420;59604;0.000105;5.475077
440;59556;0.000110;5.366096
460;59585;0.000115;5.278703
480;59638;0.000120;5.110675
500;59563;0.000125;5.031577
520;53319;0.000130;4.992159
540;59628;0.000135;4.846025
560;59610;0.000140;4.685122
580;59488;0.000145;4.621965
600;59554;0.000150;4.493641
620;59562;0.000155;4.370917
640;59520;0.000160;4.299757
660;59533;0.000165;4.236085
680;59586;0.000170;4.169358
700;59572;0.000175;4.012610
720;59596;0.000180;3.906971
740;59505;0.000185;3.915318
760;59539;0.000190;3.795971
780;59530;0.000195;3.916755
800;59502;0.000200;3.685060
820;59520;0.000205;3.598792
840;59564;0.000210;3.555472
860;59558;0.000215;3.547253
880;59556;0.000220;3.501886
900;59526;0.000225;3.409257
920;59617;0.000230;3.440127
940;59565;0.000235;3.389118
960;59563;0.000240;3.314495
980;59584;0.000245;3.306648
1000;59598;0.000250;3.263601
1020;51442;0.000255;3.242213
1040;59585;0.000260;3.232702
1060;59571;0.000265;3.182164
1080;59550;0.000270;3.188749
1100;59593;0.000275;3.120072
1120;59657;0.000280;3.110943
1140;59607;0.000285;3.115896
1160;59570;0.000290;3.092141
1180;59626;0.000295;3.039921
1200;59629;0.000300;3.033746
1220;59604;0.000305;3.019048
1240;59654;0.000310;2.997796
1260;59605;0.000315;3.012833
1280;59677;0.000320;2.977953
1300;59604;0.000325;2.984308
1320;59624;0.000330;2.964967
1340;59688;0.000335;2.941731
1360;59561;0.000340;2.915308
1380;59606;0.000345;2.958022
1400;59637;0.000350;2.932090
1420;59690;0.000355;2.904149
1440;59727;0.000360;2.885869
1460;59648;0.000365;2.913325
1480;59679;0.000370;2.886488
1500;59640;0.000375;2.870592
1520;51512;0.000380;2.858404
1540;59640;0.000385;2.831217
1560;59677;0.000390;2.848959
1580;59696;0.000395;2.875390
1600;59657;0.000400;2.844392
1620;59645;0.000405;2.837119
1640;59688;0.000410;2.852651
1660;59723;0.000415;2.807272
1680;59717;0.000420;2.799593
1700;59790;0.000425;2.791308
1720;59709;0.000430;2.793186
1740;59617;0.000435;2.782998
1760;59766;0.000440;2.793477
1780;59772;0.000445;2.772636
1800;59756;0.000450;2.782927
1820;59751;0.000455;2.769507
1840;59717;0.000460;2.769884
1860;59735;0.000465;2.755359
1880;59759;0.000470;2.757593
1900;59765;0.000475;2.722976
1920;59772;0.000480;2.728108
1940;59809;0.000485;2.738089
1960;59802;0.000490;2.739927
1980;59816;0.000495;2.712070
2000;59790;0.000500;2.725024
2020;52905;0.000505;2.726807
2040;59804;0.000510;2.712937
2060;59741;0.000515;2.714450
2080;59759;0.000520;2.711516
2100;59786;0.000525;2.727902
2120;59775;0.000530;2.675560
2140;59870;0.000535;2.668554
2160;59797;0.000540;2.690883
2180;59733;0.000545;2.673742
2200;59750;0.000550;2.678068
2220;59806;0.000555;2.685297
2240;59774;0.000560;2.676696
2260;59803;0.000565;2.672217
2280;59773;0.000570;2.666075
2300;59804;0.000575;2.695038
2320;59774;0.000580;2.654990
2340;59805;0.000585;2.670502
2360;59787;0.000590;2.651824
2380;59749;0.000595;2.644355
2400;59795;0.000600;2.634594
2420;59828;0.000605;2.634190
2440;59813;0.000610;2.633381
2460;59749;0.000615;2.647495
2480;59803;0.000620;2.640147
2500;59759;0.000625;2.647574
2520;48564;0.000630;2.647257
2540;59820;0.000635;2.642290
2560;59775;0.000640;2.648459
2580;59927;0.000645;2.652456
2600;59781;0.000650;2.600208
2620;59744;0.000655;2.620781
2640;59834;0.000660;2.613452
2660;59828;0.000665;2.609358
2680;59866;0.000670;2.618898
2700;59844;0.000675;2.633839
2720;59874;0.000680;2.619084
2740;59857;0.000685;2.620399
2760;59889;0.000690;2.610312
2780;59832;0.000695;2.615536
2800;59811;0.000700;2.618521
2820;59841;0.000705;2.608392
2840;59898;0.000710;2.583076
2860;59787;0.000715;2.589396
2880;59894;0.000720;2.587099
2900;59839;0.000725;2.596555
2920;59846;0.000730;2.605469
2940;59840;0.000735;2.605532
2960;59915;0.000740;2.600785
2980;59867;0.000745;2.590307
3000;59829;0.000750;2.605369
3020;51828;0.000755;2.604912
3040;59836;0.000760;2.596122
3060;59859;0.000765;2.564723
3080;59884;0.000770;2.546301
3100;59900;0.000775;2.569236
3120;59882;0.000780;2.553474
3140;59934;0.000785;2.583127
3160;59880;0.000790;2.575573
3180;59872;0.000795;2.576766
3200;59911;0.000800;2.562607
3220;59895;0.000805;2.584094
3240;59879;0.000810;2.597370
3260;59884;0.000815;2.570944
3280;59883;0.000820;2.585212
3300;59893;0.000825;2.540817
3320;59850;0.000830;2.550610
3340;59834;0.000835;2.541414
3360;59833;0.000840;2.548679
3380;59904;0.000845;2.553852
3400;59887;0.000850;2.564846
3420;59895;0.000855;2.556479
3440;59930;0.000860;2.542256
3460;59861;0.000865;2.551903
3480;59843;0.000870;2.559386
3500;59923;0.000875;2.576673
3520;52628;0.000880;2.578104
3540;59927;0.000885;2.514241
3560;59894;0.000890;2.529760
3580;59866;0.000895;2.538663
3600;59907;0.000900;2.541560
3620;59869;0.000905;2.548160
3640;59796;0.000910;2.544451
3660;59903;0.000915;2.539028
3680;59867;0.000920;2.561874
3700;59830;0.000925;2.546891
3720;59859;0.000930;2.544189
3740;59917;0.000935;2.549890
3760;59878;0.000940;2.551771
3780;59867;0.000945;2.516641
3800;59888;0.000950;2.523943
3820;59916;0.000955;2.509935
3840;59879;0.000960;2.538666
3860;59829;0.000965;2.523027
3880;59899;0.000970;2.522715
3900;59891;0.000975;2.519051
3920;59812;0.000980;2.539171
3940;59885;0.000985;2.542097
3960;59891;0.000990;2.523755
3980;59859;0.000995;2.548759
4000;59938;0.001000;2.498721
4020;53349;0.000998;2.499144
4040;59836;0.000995;2.515692
4060;59830;0.000993;2.505072
4080;59820;0.000990;2.513583
4100;59848;0.000988;2.508522
4120;59847;0.000985;2.520836
4140;59892;0.000983;2.510812
4160;59849;0.000981;2.527607
4180;59838;0.000978;2.517677
4200;59867;0.000976;2.523978
4220;59823;0.000974;2.520771
4240;59843;0.000971;2.486174
4260;59911;0.000969;2.469069
4280;59856;0.000967;2.489835
4300;59919;0.000964;2.497257
4320;59922;0.000962;2.480537
4340;59814;0.000960;2.506927
4360;59855;0.000958;2.503679
4380;59856;0.000956;2.495135
4400;59928;0.000953;2.505542
4420;59800;0.000951;2.508129
4440;59825;0.000949;2.504594
4460;59895;0.000947;2.491377
4480;59854;0.000945;2.466966
4500;59763;0.000943;2.460669
4520;53531;0.000941;2.466882
4540;59855;0.000939;2.470062
4560;59946;0.000937;2.472427
4580;59866;0.000935;2.475279
4600;59870;0.000933;2.477034
4620;59854;0.000930;2.479135
4640;59798;0.000928;2.463108
4660;59847;0.000926;2.492916
4680;59873;0.000925;2.494292
4700;59874;0.000923;2.486995
4720;59841;0.000921;2.441133
4740;59861;0.000919;2.450508
4760;59870;0.000917;2.457173
4780;59811;0.000915;2.454673
4800;59858;0.000913;2.460488
4820;59851;0.000911;2.465077
4840;59790;0.000909;2.459733
4860;59911;0.000907;2.472109
4880;59880;0.000905;2.468553
4900;59851;0.000904;2.470132
4920;59839;0.000902;2.482189
4940;59842;0.000900;2.452194
4960;59829;0.000898;2.423869
4980;59925;0.000896;2.443851
5000;59873;0.000894;2.435897
5020;52878;0.000893;2.440595
5040;59921;0.000891;2.454252
5060;59820;0.000889;2.447255
5080;59840;0.000887;2.456264
5100;59894;0.000886;2.444988
5120;59875;0.000884;2.461971
5140;59900;0.000882;2.463124
5160;59807;0.000880;2.462049
5180;59746;0.000879;2.412200
5200;59829;0.000877;2.417690
5220;59743;0.000875;2.422942
5240;59757;0.000874;2.424347
5260;59846;0.000872;2.432793
5280;59895;0.000870;2.433548
5300;59861;0.000869;2.439081
5320;59809;0.000867;2.435246
5340;59912;0.000865;2.432600
5360;59832;0.000864;2.444986
5380;59906;0.000862;2.454134
5400;59842;0.000861;2.445189
5420;59860;0.000859;2.399146
5440;59835;0.000857;2.406539
5460;59818;0.000856;2.412158
5480;59889;0.000854;2.420090
5500;59818;0.000853;2.419795
5520;52571;0.000851;2.411182
5540;59830;0.000850;2.426668
5560;59803;0.000848;2.429351
5580;59854;0.000847;2.418908
5600;59784;0.000845;2.432914
5620;59769;0.000844;2.434393
5640;59806;0.000842;2.442748
5660;59778;0.000841;2.394383
5680;59845;0.000839;2.388686
5700;59819;0.000838;2.389904
5720;59806;0.000836;2.404225
5740;59784;0.000835;2.394342
5760;59755;0.000833;2.413314
5780;59801;0.000832;2.417719
5800;59777;0.000830;2.411951
5820;59813;0.000829;2.420885
5840;59741;0.000828;2.414631
5860;59690;0.000826;2.428971
5880;59807;0.000825;2.422737
5900;59712;0.000823;2.378305
5920;59771;0.000822;2.377266
5940;59765;0.000821;2.388103
5960;59759;0.000819;2.388448
5980;59781;0.000818;2.390383
6000;59730;0.000816;2.399423
6020;53739;0.000815;2.400140
6040;59650;0.000814;2.406112
6060;59737;0.000812;2.407897
6080;59709;0.000811;2.411827
6100;59747;0.000810;2.403204
6120;59730;0.000808;2.374868
6140;59639;0.000807;2.376760
6160;59698;0.000806;2.371436
6180;59718;0.000805;2.370556
6200;59733;0.000803;2.382812
6220;59642;0.000802;2.384771
6240;59664;0.000801;2.397323
6260;59787;0.000799;2.397394
6280;59683;0.000798;2.389330
6300;59799;0.000797;2.389335
6320;59664;0.000796;2.397692
6340;59742;0.000794;2.399688
6360;59663;0.000793;2.350562
6380;59783;0.000792;2.360638
6400;59735;0.000791;2.380100
6420;59713;0.000789;2.372015
6440;59732;0.000788;2.368819
6460;59606;0.000787;2.373890
6480;59759;0.000786;2.374106
6500;59628;0.000784;2.390778
6520;54591;0.000783;2.377628
6540;59762;0.000782;2.393899
6560;59689;0.000781;2.393962
6580;59645;0.000780;2.394635
6600;59680;0.000778;2.351693
6620;59683;0.000777;2.348898
6640;59693;0.000776;2.360887
6660;59635;0.000775;2.361577
6680;59729;0.000774;2.372062
6700;59679;0.000773;2.372607
6720;59632;0.000772;2.366414
6740;59695;0.000770;2.379592
6760;59646;0.000769;2.376523
